World bank projects, downloaded 03-05-2021 03:17:38 am								
Project Name	Country	Project Id	Commitment Amount	Status	Approval Date	Last updated Date	Project Development Objective	Consultant Services Required
Proyecto de EnergÌas Renovables en ¡reas Rurales de Argentina	Argentina	P133288	200.00	Activo	2015-04-07T00:00:00Z	2021-04-20T00:00:00Z	The project's development objective is to provide and enhance access to modern energy services in selected rural areas of Argentina.	
Proyecto de Bosques y Comunidad	Argentina	P132846	58.76	Activo	2015-04-07T00:00:00Z	2021-04-23T00:00:00Z	Project Development Objective (from Project Appraisal Document)  The Project Development Objective is to improve forest management; and increase access to markets and basic services by small forest producers including indigenous and campesinos in selected Northern Provinces of Argentina	
Proyecto de Apoyo para el Empleo de los JÛvenes en Argentina	Argentina	P133129	425.00	Activo	2015-01-15T00:00:00Z	2021-03-04T00:00:00Z	The development objective of the proposed Project is to improve access of vulnerable youth population to labor markets, increasing their employability by supporting the expansion and strengthening of Government employment programs.	
Segunda Etapa del Proyecto de Mejoramiento de la EducaciÛn Rural (PROMER II)	Argentina	P133195	250.50	Activo	2014-12-02T00:00:00Z	2021-03-30T00:00:00Z	The proposed Project Development Objective is to support the national Government to reduce repetition rates in Primary Education and increase enrollment in, and completion rates of, Secondary Education, all in Argentina's rural areas.	
Fondo de AdaptaciÛn: Proyecto de Aumento de la Capacidad de AdaptaciÛn al Cambio Clim·tico y Mejora de la GestiÛn Sostenible de la Tierra en el Sudoeste de la Provincia de Buenos Aires	Argentina	P125804	3.96	Cerrado	2013-09-20T00:00:00Z	2020-01-27T00:00:00Z	The PDO is to contribute to reducing climate and man-made vulnerability of the agroecosystems in the Southwest of the Buenos Aires P rovince by increasing adaptive capacity of key local institutions and actors and piloting and disseminating climate resilient and su stainable land management practices.	
Proyecto de EliminaciÛn Gradual de los Hidroclorofluorocarbonos (HCFC) en virtud del Protocolo de Montreal	Argentina	P129397	1.90	Cerrado	2013-07-30T00:00:00Z	2018-10-29T00:00:00Z	The project development objective is to support Argentina in phasing out controlled ozone-depleting substances in accordance with the country's obligations under the Montreal Protocol.	
¡rbitros JÛvenes de F˙tbol (GFYI)	Argentina	P127297	0.02	Cerrado	2012-04-19T00:00:00Z	2016-04-12T00:00:00Z	To promote social inclusion and employability of youth at risk throught he creation of a football referee intensive tranining pogram.	
Espacio cultural para la educaciÛn	Argentina	P127295	0.04	Cerrado	2012-04-17T00:00:00Z	2016-04-12T00:00:00Z	The objectives of the Project are to: (a) develop a cultural center which will work as a laboratory and photographic training space for young people from the socially excluded communities and (b) disseminate artistic and cultural non hegemonic productions for promotion and interchange of experiences and cultural and artistic practices.	
Proyecto de Desarrollo de Seguros P˙blicos Provinciales de Salud	Argentina	P106735	400.00	Cerrado	2011-04-28T00:00:00Z	2020-06-04T00:00:00Z	The PDOs are to: (a) increase utilization and quality of key health services for the uninsured target population; and (b) improve institutional management by strengthening the incentives for results in Participating Provinces and among Authorized Providers.	
Segundo Proyecto de Infraestructura HÌdrica del Norte Grande	Argentina	P125151	200.00	Activo	2011-04-05T00:00:00Z	2021-01-27T00:00:00Z	The proposed new Project Development Objectives are to increase access to water supply and sanitation services and to improve the operational and financial performance of the water supply and sanitation service providers in the project area.	
Basic Protection Project Additional Financing	Argentina	P120622	480.00	Cerrado	2011-03-10T00:00:00Z	2016-04-12T00:00:00Z	18.The project development objective is to increase the effectiveness of Argentina‚Äôs income transfer programs for the unemployed and families with children and to create the preconditions for expansion of the safety net. The specific objectives are to:   (a)Help the Government to protect expenditures on core income transfer programs, at a time of increasing fiscal pressures; (b)Support the expansion of the Seguro program (Employment Benefit and Training), aimed at increasing employability of unemployed and informal sector workers through temporary cash support, training, and job placement services. (c)Support the Government‚Äôs strategy to reform the ‚ÄúFamily Allowances‚Äù programthat provides income transfers to families of lower income formal sector workers, increasing transparency and accountability, and setting the operational pre-conditions for a possible expansion of coverage in the near future. (d)Enhance the capacity of the Government to monitor poverty and social protection, through technical assistance for the design and implementation of a national ‚ÄúSocial Protection Survey‚Äù and the improvement of analytical capacity.	
Programa de Fortalecimiento del Sector P˙blico: PrÈstamo Adaptable para Programas (APL1)	Argentina	P121836	30.00	Cerrado	2011-02-22T00:00:00Z	2018-05-07T00:00:00Z	The objective is to improve the public sector ability to contribute to the econo mic and social development of the Province of La Rioja.	
AR Third National Communication UNFCCC	Argentina	P116974	2.44	Cerrado	2011-02-01T00:00:00Z	2015-12-22T00:00:00Z	The objective of the Project is to strengthen the information base and institutional capacity of the key members of the Steering Committee, in order to integrate climate change priorities into the Recipients development strategies and relevant sector programs by providing financial and technical support to prepare the TNC	
Segunda fase del Proyecto de Programas de Fortalecimiento de las Funciones Esenciales de la Salud P˙blica	Argentina	P110599	461.00	Cerrado	2010-12-20T00:00:00Z	2020-10-23T00:00:00Z	The PDOs are to: (i) improve the stewardship role of the federal public health system, through the strengthening of Essential Public Health Functions; and (ii) increase the coverage and clinical governance  of Priority Public Health Programs	
Proyecto de Infraestructura Vial del Norte Grande	Argentina	P120198	400.00	Cerrado	2010-12-20T00:00:00Z	2020-06-15T00:00:00Z	The development objective of the proposed project is to reduce transport costs for users of provincial roads along selected corridors of the Norte Grande provinces, through the improvement of the quality of those roads and the introduction of improved road asset management tools and methods.	
Argentina: Proyecto de Infraestructura HÌdrica del Norte Grande	Argentina	P120211	200.00	Cerrado	2010-12-20T00:00:00Z	2020-12-11T00:00:00Z	The PDO is to increase sustainable access to water supply and urban drainage services in the Norte Grande region of Argentina by providing investments in infrastructure and supporting institutional development.	
AR AF Buenos Aires Province Infra Sust Investment Development	Argentina	P114081	50.00	Cerrado	2010-07-27T00:00:00Z	2014-08-08T00:00:00Z		
Argentina Grasslands Project (Mercosur)	Argentina	P091659	0.90	Cerrado	2010-04-23T00:00:00Z	2014-05-21T00:00:00Z	The project objective is to promote improved ecosystem management in priority grassland areas shared by four Mercosur countries (Argentina, Uruguay, Paraguay, and Brazil).  None of these countries has adequate protected area or sustainable management plans for this highly threatened ecosystem, and all have endorsed this project to begin improving ecosystem management through sustainable use (primarily in grazing lands). The project will seek to: - develop local know-how, knowledge, and capacity to manage production landscapes without the further loss of biodiversity. - support demonstration projects focusing on grassland conservatoin with high replication value. - establish a transboundary coordination mechanism that will facilitate the mainstreaming of biodiversity within the grassland production systems of the region. LCC7 will lead this task in full collaboration with LC5 -- similar to how collaboration between the two CMUs takes place on the Guarani aquifer regional GEF project.	
Proyecto de Seguridad Vial de Argentina	Argentina	P116989	30.00	Cerrado	2010-04-06T00:00:00Z	2018-02-05T00:00:00Z	The proposed project development objective is to contribute to the reduction of road traffic injuries and fatalities in the Borrower's territory through the strengthening of the Borrower's institutional framework and management capacity for road safety and the reduction of road crashes in selected pilot corridors.	
AR San Juan SWAP	Argentina	P113896	50.00	Cerrado	2010-03-16T00:00:00Z	2018-01-14T00:00:00Z	The project development objectives are to:  #  Improve the equity, quality and efficiency of health services, thereby supporting the reduction of child and maternal mortality, especially among those citizens with limited resources who rely heavily on public health services. The four health programs supported by the operation (detailed below) are conducive for these objectives.  # Improve the equity, quality and efficiency of education services in the first few years of schooling; thereby strengthen the human capital foundations of the province and improving equal opportunities in education.  The two education programs supported by the operation (detailed below) are conducive for these objectives.  #  Strengthen public sector management. The project aims to build institutional capacity in key line ministries and the finance ministry, introducing basic elements of performance-informed budgeting and policy planning, improving public resource management, and strengthening monitoring and evaluation of service delivery. The TA component is designed to support this objective.	
Prevention and Management of Influenza Type Illness and Strengthening of Argentina's Epidemiological System Project	Argentina	P117377	229.00	Cerrado	2010-02-23T00:00:00Z	2016-06-13T00:00:00Z	The objective of the Project is to strengthen the capacity of the Borrowers epidemiological health surveillance system to: (a) prevent, monitor and evaluate influenza activity and (b) control epidemic waves of A/H1N1 influenza.	
Argentina: Financiamiento adicional para el Proyecto de Infraestructura Vial Provincial	Argentina	P114018	175.00	Cerrado	2010-01-12T00:00:00Z	2018-01-18T00:00:00Z	The objectives of the Project are: (a) to improve the primary paved road sectorassets of Participating Provinces I; and (b) to enh ance the DPVs capacity to manage andadminister said road assets, so as to facilitate the transport of products within theBorrow ers territory.	
City Development Strategies for the Province of Buenos Aires, Argentina	Argentina	P119827	0.42	Cerrado	2009-12-02T00:00:00Z	2013-01-15T00:00:00Z	The objective of the Project is to improve the quality of life and the quality of basic municipal services through the provision of water supply and sanitation, urban drainage, and roads infrastructure in an equitable and fiscally sustainable manner.	
Proyecto de Transporte Urbano en Zonas Metropolitanas	Argentina	P095485	150.00	Cerrado	2009-10-20T00:00:00Z	2020-06-29T00:00:00Z	The overall development objective of the program is to improve the quality and sustainability of urban transport systems in Argentine Metropolitan Areas, through the improvement of sectoral decision making frameworks and by giving priority to public transport modes in the urban transport sector. The project (APL1) development objectives contribute to the overall program development objective by: (i) supporting the design and creation of a multijurisdictional Metropolitan Transport Agency for the Buenos Aires Metropolitan Area (AMBA); (ii) strengthening the institutional capacity of the transport authorities in decision making, planning, priority setting, and resource allocation in urban transport; (iii) improving the quality and performance of urban transport infrastructure and/orservices in medium size Metropolitan Areas; and (iv) improving the physical integration and access to public transport networks in the Buenos Aires Metropolitan Area.	
Argentina Basic Protection Project	Argentina	P115183	450.00	Cerrado	2009-06-09T00:00:00Z	2016-06-03T00:00:00Z	The project development objective is to increase the effectiveness of Argentina's income transfer programs for the unemployed and families with children and to create the preconditions for expansion of the safety net. The specific objectives are to: (a)Help the Government to protect expenditures on core income transfer programs, at a time of increasing fiscal pressures; (b)Support the expansion of the Seguro program (Employment Benefit and Training), aimed at increasing employability of unemployed and informal sector workers through temporary cash support, training, and job placement services. (c)Support the Government's strategy to reform the Family Allowances program that provides income transfers to families of lower income formal sector workers, increasing transparency and accountability, and setting the operational pre-conditions for a possible expansion of coverage in the near future. (d)Enhance the capacity of the Government to monitor poverty and social protection, through technical assistance for the design and implementation of a national Social Protection Survey and the improvement of analytical capacity.	
Programa de PrÈstamos Adaptables para el Desarrollo Sostenible de la Cuenca Matanza-Riachuelo	Argentina	P105680	840.00	Activo	2009-06-09T00:00:00Z	2021-04-26T00:00:00Z	The overall development objective of the proposed APL program supports the Government's Integrated Basin Cleanup whilesimultaneously  improving sanitary conditions along the banks of La Plata River and providing a long-term and cost-effectivesolution for safe dispo sal of wastewater from the Buenos Aires Metropolitan Area (AySAs concession area). The two stage APL programthat contributes to this  objective and the allocation of works and activities under each APL has been specifically designed toensure that APL-1 can be free- standing, with no stranded assets at the end of the first stage.  The project (APL-1) development objectives contribute to the o verall program development objective by (i) improving sewerageservices in the M-R River Basin and other parts of the Province and Ci ty of Buenos Aires by expanding transport and treatmentcapacity; (ii) supporting a reduction of industrial discharges to the M-R Riv er, through the provision of industrial conversiongrants to small and medium enterprises; (iii) promoting improved decision-making f or environmentally-sustainable land use anddrainage planning, and piloting urban drainage and land use investments, in the M-R River  Basin; and (iv) strengthening ACUMAR#sinstitutional framework for ongoing and sustainable clean-up of the M-R River Basin.	
Argentina: Proyecto de energÌas renovables en mercados rurales (PERMER) (financiamiento adicional)	Argentina	P110498	50.00	Cerrado	2008-11-11T00:00:00Z	2013-01-15T00:00:00Z		
ARGENTINA (FMAM): Proyecto de transporte sostenible y calidad del aire	Argentina	P114008	3.99	Cerrado	2008-11-04T00:00:00Z	2018-01-18T00:00:00Z	The Argentina Project follows the higher level objectives of the Regional Program, and have a common focus in assisting participant cities in: (i) towards reducing GHG emissions by increasing use of less energy intensive transport modes in cities; and (ii) inducing policy changes in favor of sustainable transport projects.	
Segundo programa de servicios agrÌcolas provinciales	Argentina	P106684	300.00	Cerrado	2008-09-25T00:00:00Z	2017-03-10T00:00:00Z	To increase the productivity and sales volume of small and medium-size producers.  To achieve this, the project's strategy involves technical assistance (TA), capacity-building activities, and direct investments that contribute to long-term improvements in agricultural productivity, as well as competitiveness and market access.	
Argentina: Fomento de la innovaciÛn productiva	Argentina	P106752	150.00	Cerrado	2008-09-25T00:00:00Z	2020-04-20T00:00:00Z	The Objective of the Project is to expand the Borrower's capacity to generate productiveinnovation in knowledge-based areas by: (a) facilitating the creation of new knowledge-basedcompanies; (b) developing specialized human capital; (c) supporting productive researchinnovation activities and their technology commercialization in the areas of biotechnology,nanotechnology and information and communication technology; (d) upgrading the researchinfrastructure in the areas of science, technology and productive innovation; and (e) strengtheningthe policy framework governing science, technology, and productive innovation.	
Argentina: Proyecto de restauraciÛn ambiental minera	Argentina	P110462	30.00	Cerrado	2008-07-31T00:00:00Z	2017-12-21T00:00:00Z	The development objectives of the project are to: (a) strengthen Government of Argentina's capacity to assess and mitigate environmental risks associated with closed uranium mines, processing sites, and related mining sector investments in accordance with international good practice; and (b) reduce potential economic and health damages associated with a closed uranium mining site in Malargue, Mendoza.	
ARGENTINA: SISTEMA DE IDENTIFICACI”N NACIONAL TRIBUTARIO Y SOCIAL. SEGUNDO PR…STAMO	Argentina	P101171	20.00	Cerrado	2008-07-10T00:00:00Z	2013-03-15T00:00:00Z	The project's development objective is to identify social and/or fiscal attributes of physical and legal persons in Argentina, through a sustainable information exchange system, aimed at improving the efficiency, effectiveness, and impact of social services and fiscal programs at all levels of government in Argentina.  The specific objectives to be pursued under this operation are: 1.to expand and consolidate the network underlying the exchange of social and fiscal information among public agencies at the national, provincial, and municipal levels of government, with provisions to ensure data protection, accessibility, and the quality and accuracy of information; and 2.to consolidate the institutionalization of SINTyS as an independent national entity responsible for coordinating and setting standards governing the exchange of information within Argentina's public sector.	
Proyecto de eficiencia energÈtica	Argentina	P090119	15.16	Cerrado	2008-06-26T00:00:00Z	2018-03-06T00:00:00Z	To reduce greenhouse emissions by removing the regulatory, financing and informational barriers  that prevent activities andinvestme nts in energy efficiency and energy conservation.	
Argentina: GestiÛn sostenible de los recursos naturales (antes, Desarrollo forestal sostenible)	Argentina	P100806	60.00	Cerrado	2008-03-18T00:00:00Z	2016-04-12T00:00:00Z	Improve the sustainable and efficient management of forest resources, conserve biodiversity in protected areas and forest landscapes, and integrate small producers into forestry development and conservation.	
ARGENTINA: CAPTACI”N DE GAS DE RELLENO SANITARIO EN SALTA	Argentina	P101253	0.71	Cerrado	2007-09-14T00:00:00Z	2018-01-15T00:00:00Z	The project aims to help mitigate climate change through the effective reduction of 79,664 tC02e caused by the methane (GHG) generated in the municipal landfill of Salta, through recovery and flaring of the methane collected at the landfill.	
Argentina: Proyecto de desarrollo de pequeÒos productores agropecuarios (PROINDER) (financiamiento adicional)	Argentina	P102446	45.00	Cerrado	2007-07-17T00:00:00Z	2017-01-12T00:00:00Z	PDO 1: Increased productive and organizational capacity in participating poor, rural communities.  PDO 2: Greater emphasis on rural poverty issues in the sectoral agenda and improved coordination of rural development programs and policies. PDO 3: Financial assistance provided to poor, rural producers in areas declared in flood emergency or disaster.	
Proyecto de conservaciÛn de la biodiversidad en plantaciones forestales	Argentina	P094425	7.00	Cerrado	2007-06-28T00:00:00Z	2016-04-12T00:00:00Z	Improve the sustainable and efficient management of forest resources, conserve biodiversity in protected areas and forest landscapes, and integrate small producers into forestry development and conservation.	
Argentina: Proyecto de capacitaciÛn y aprendizaje permanente	Argentina	P095514	200.00	Cerrado	2007-06-28T00:00:00Z	2016-04-12T00:00:00Z	The proposed Project aims at supporting the Government of Argentina to consolidate, strengthen, and increase the coverage of a lifelong learning and competency-based training system for disadvantaged adults 18 years or older with the objectives for those who participate to: (i) enhance employability (for unemployed); and (ii) improve career opportunities (for employed).	
Argentina: Segunda fase del proyecto de administraciÛn de activos de las rutas nacionales	Argentina	P095569	400.00	Cerrado	2007-06-28T00:00:00Z	2018-01-18T00:00:00Z	The overall purpose of the program is to further develop and implement an efficient road network management strategy, bringing about the necessary resources to preserve the national road network in the long term. This is a key condition towards increasing the competitiveness of the economy and supporting a sustainable path of economic growth and poverty reduction: a.Preserve the condition of vital road assets, through the gradual expansion of performance-based contracts for the rehabilitation and maintenance of the non-concessioned primary paved network; b.Strengthen road sector management through carrying out a renewal program of DNV to revitalize its role in the sector by: (i) reinforcing its human resource base, (ii) consolidating its transformation into a results-oriented organization accountable for specific outputs; (iii) introducing a systematic approach to bridge management and (iv) enhancing road safety.	
Argentina: Proyecto de infraestructura en la provincial de Buenos Aires (APL-2)	Argentina	P105288	270.00	Cerrado	2007-06-28T00:00:00Z	2014-08-08T00:00:00Z	The overall purpose of the program is to improve the provision of infrastructure services in the Province within a framework offiscal responsibility. Through improved services the Project aims to support the return to a sustainable path of economic growth, to alleviate poverty and to increase social equity. To this end, the Province prioritized a set of interventions through the sector wide Infrastructure Program for the period 2005-2012 specifically aimed to: i.    Develop a multi-year public expenditure program, in line with the priorities of the Province, to implement the InfrastructureProgram following sound fiscal policies to ensure convergencetowards a long-term sustainable fiscal framework. ii.    Improve and maintain high priority segments of the non-concessioned paved road network to support the reactivation of the provincial economy and strengthen regional competitiveness. iii.    Enhance access to water, sewerage, sanitation and urban drainage services, especially for the low-income segments of the population living in highly vulnerable areas of the Conurbano Bonaerense.  The specific Project Development Objective is to improve the social and environmental welfare of approximately 5,000,000 people through the improved provision of transport, water and sanitation and drainage services.	
